trial_number,trial_id,draw_index,model,mean_test_spearman,synthetic_seed,sampling_seed,schema_attempts,sample_type,surrogate_spearman,surrogate_mae,surrogate_rmse,pren_spearman,pren_mae,pren_rmse,fake_pren_spearman,fake_pren_mae,fake_pren_rmse
2,trial_0002,0,hist_gradient_boosting,0.7283295796511096,2200000,2200000,1,generic,-0.04831774698623018,0.786874416790807,1.050817092365326,,,,0.5023969814948921,0.7659772913058749,1.001089676144722
2,trial_0002,1,hist_gradient_boosting,0.7283295796511096,2200001,2200001,1,generic,-0.10926706876994857,0.8528104004262941,1.0791871802521393,,,,0.4226704161175527,0.8421361012309583,1.1253711437801004
2,trial_0002,2,hist_gradient_boosting,0.7283295796511096,2200002,2200002,1,informed,0.23451227693669655,0.746838557968305,0.9995675287185545,0.3024301203202804,0.9448490050264827,1.2300718209599995,,,
2,trial_0002,3,hist_gradient_boosting,0.7283295796511096,2200003,2200003,1,generic,-0.16266038135419317,0.8256922859719498,1.0844248168193567,,,,0.520358458376925,0.7679146882221718,1.005834342503754
2,trial_0002,4,hist_gradient_boosting,0.7283295796511096,2200004,2200004,1,informed,0.4400516531087659,0.6913110632343217,0.9177757974931121,0.33761822451353196,0.9224614540244639,1.2113769814600046,,,
2,trial_0002,5,hist_gradient_boosting,0.7283295796511096,2200005,2200005,1,generic,-0.14450860079824712,0.8757551030143832,1.2495873445512804,,,,0.3645709644384363,0.8851735992758613,1.1975923758160074
2,trial_0002,6,hist_gradient_boosting,0.7283295796511096,2200006,2200006,1,generic,0.11721963747026364,0.8356546242607099,1.0379593825368498,,,,0.5562877132337897,0.686979371860716,0.9388034517000865
2,trial_0002,7,hist_gradient_boosting,0.7283295796511096,2200007,2200007,1,generic,-0.017835492605236297,0.9362009830382928,1.1912542748018153,,,,0.5300492657352973,0.7001863511990374,0.9553303208739389
2,trial_0002,8,hist_gradient_boosting,0.7283295796511096,2200008,2200008,1,informed,0.22518414965662503,0.802867284299237,1.004615339204075,0.5274499214384675,0.7609735862042559,1.027685520946364,,,
2,trial_0002,9,hist_gradient_boosting,0.7283295796511096,2200009,2200009,1,informed,0.3849267899925127,0.7128262434489341,0.9512893176134228,0.3648086700889028,0.9337047209686815,1.1862649617596648,,,
