template_id,family,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd
epit_0191,fe_alloy,69.605,15,13,2.395,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0192,fe_alloy,81.898,16.3,0.33,0,0,,0,0.046,0.6,0.7,0.1,0.018,0.008,0,0,0,0,0,0,0,0,0,0,0
epit_0193,fe_alloy,81.028,16.52,0.3,0.99,0,,0,0.069,0.54,0.42,0.11,0.016,0.007,0,0,0,0,0,0,0,0,0,0,0
epit_0194,fe_alloy,82.8115,17.08,0,0.03,0,0.0065,0,0.003,0.06,,0,0.009,,0,0,0,0,0,0,0,0,0,0,0
epit_0195,fe_alloy,81.96535,16.93,0,1.04,0,0.00565,0,0.002,0.05,,0,0.007,,0,0,0,0,0,0,0,0,0,0,0
epit_0196,fe_alloy,80.2552,16.68,0,2.99,0,0.0048,0,0.003,0.06,,0,0.007,,0,0,0,0,0,0,0,0,0,0,0
epit_0197,fe_alloy,79.38,18.53,0.11,1.95,0,,0,0.03,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0198,fe_alloy,78.87,18.53,0.62,1.95,0,,0,0.03,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0199,fe_alloy,78.409,18.53,1.08,1.95,0,,0,0.031,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0200,fe_alloy,78.791,18.45,0.11,1.97,0,0.045,0,0.034,0.13,,,,,0,0,0,0,0,0.47,0,0,0,0,0
epit_0201,fe_alloy,77.592,18.5,0,1.97,0,0.023,0,0.035,,,,,,0,0,0,0,0,1.88,0,0,0,0,0
epit_0202,fe_alloy,77.818,18.7,0.57,1.97,0,,0,0.032,,,,,,0,0,0,0,0,0.91,0,0,0,0,0
epit_0203,fe_alloy,75.47,18.7,2.08,1.97,0,,0,0.03,,,,,,0,0,0,0,0,1.75,0,0,0,0,0
epit_0204,fe_alloy,67.454,17.93,14.38,0,0,,0,0.036,,,,,,0,0,0,0,0.2,0,0,0,0,0,0
epit_0205,fe_alloy,67.151,17.93,14.38,0,0,,0,0.036,,,,,,0,0,0,0,0.503,0,0,0,0,0,0
epit_0206,fe_alloy,66.654,17.93,14.38,0,0,,0,0.036,,,,,,0,0,0,0,1,0,0,0,0,0,0
epit_0207,fe_alloy,66.664,17.93,14.38,0,0,,0,0.036,,,,,,0,0,0,0.99,0,0,0,0,0,0,0
epit_0208,fe_alloy,65.154,17.93,14.38,0,0,,0,0.036,,,,,,0,0,0,2.5,0,0,0,0,0,0,0
epit_0209,fe_alloy,67.464,17.93,14.38,0,0,,0,0.036,,,,,,0,0,0,0,0,0.19,0,0,0,0,0
epit_0210,fe_alloy,67.344,17.93,14.38,0,0,,0,0.036,,,,,,0,0,0,0,0,0.31,0,0,0,0,0
epit_0211,fe_alloy,66.654,17.93,14.38,0,0,,0,0.036,,,,,,0,1,0,0,0,0,0,0,0,0,0
epit_0212,fe_alloy,65.404,17.93,14.38,0,0,,0,0.036,,,,,,0,2.25,0,0,0,0,0,0,0,0,0
epit_0213,fe_alloy,66.184,17.93,14.38,1.47,0,,0,0.036,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0214,fe_alloy,64.904,17.93,14.38,2.75,0,,0,0.036,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0215,fe_alloy,62.654,17.93,14.38,5,0,,0,0.036,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0216,fe_alloy,67.474,17.93,14.38,0,0.18,,0,0.036,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0217,fe_alloy,66.154,17.93,14.38,0,1.5,,0,0.036,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0218,fe_alloy,64.984,17.93,14.38,0,2.67,,0,0.036,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0219,fe_alloy,66.654,17.93,14.38,0,0,,0,0.036,,,,,,0,0,1,0,0,0,0,0,0,0,0
epit_0220,fe_alloy,65.584,17.93,14.38,0,0,,0,0.036,,,,,,0,0,2.07,0,0,0,0,0,0,0,0
epit_0221,fe_alloy,66.734,17.93,14.38,0,0,,0.92,0.036,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0222,fe_alloy,66.354,17.93,14.38,0,0,,1.3,0.036,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0223,fe_alloy,65.474,17.93,14.38,0,0,,2.18,0.036,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0224,fe_alloy,64.324,17.93,14.38,0,0,,0,0.036,3.33,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0225,fe_alloy,62.914,17.93,14.38,0,0,,0,0.036,4.74,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0226,fe_alloy,67.654,17.93,14.38,0,0,,0,0.036,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0227,fe_alloy,62.904,17.93,14.38,0,0,,0,0.036,,,,,,0,4.75,0,0,0,0,0,0,0,0,0
epit_0228,fe_alloy,62.654,17.93,14.38,0,0,,0,0.036,5,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0229,other,39.147,19.97,39.09,0.025,0,0.04,0,0.058,0.46,1.21,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0230,fe_alloy,99.03,,,0.97,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0231,fe_alloy,96.97,,,3.03,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0232,other,35.971,20.01,39.13,4.85,0,0.039,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0233,fe_alloy,64.425,17.67,13.57,1.99,0,0.03,0,0.025,0.45,1.84,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0234,fe_alloy,97.55,,,2.45,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0235,fe_alloy,97.07,,,2.93,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0236,fe_alloy,96.63,,,3.37,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0237,fe_alloy,62.7,17.6,13.5,3.89,0,0.033,0,0.027,0.53,1.72,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0238,fe_alloy,65.841,17.86,16.13,0.067,0,0.01,0,0.002,0.09,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0239,fe_alloy,63.165,18.01,16.25,2.48,0,0.012,0,0.003,0.08,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0240,fe_alloy,60.664,18.07,16.17,4.99,0,0.012,0,0.004,0.09,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0241,fe_alloy,63.515,17.6,13.6,2.93,0,0.03,0,0.025,0.5,1.8,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0242,fe_alloy,73.63,22.53,1.45,1.02,0,,,,1.37,,,,,,0,0,0,0,0,0,0,0,0,0
epit_0243,fe_alloy,74,20.73,2.17,1.03,0,,,,2.07,,,,,,0,0,0,0,0,0,0,0,0,0
epit_0244,fe_alloy,73.49,22.56,1.44,0.71,0,,0.34,,1.37,0.09,,,,,0,0,0,0,0,0,0,0,0,0
epit_0245,fe_alloy,73.38,22.52,1.85,0.7,0,,0.34,,,0.08,,,,1.13,0,0,0,0,0,0,0,0,0,0
epit_0246,fe_alloy,73.66,21.51,1.44,2.03,0,,,,1.36,,,,,,0,0,0,0,0,0,0,0,0,0
epit_0247,fe_alloy,74.03,19.71,2.16,2.04,0,,,,2.06,,,,,,0,0,0,0,0,0,0,0,0,0
epit_0248,fe_alloy,73.37,21.49,1.84,1.75,0,,0.34,,,0.09,,,,1.12,0,0,0,0,0,0,0,0,0,0
epit_0249,fe_alloy,72.73,21.48,1.43,3,0,,,,1.36,,,,,,0,0,0,0,0,0,0,0,0,0
epit_0250,fe_alloy,73.02,19.7,2.15,2.64,0,,0.34,,2.06,0.09,,,,,0,0,0,0,0,0,0,0,0,0
epit_0251,fe_alloy,71.93,19.74,2.14,3.5,0,,0.51,,2.05,0.13,,,,,0,0,0,0,0,0,0,0,0,0
epit_0252,fe_alloy,70.97,19.73,2.13,4.7,0,,0.34,,2.04,0.09,,,,,0,0,0,0,0,0,0,0,0,0
epit_0253,fe_alloy,73.26,24.32,0.72,1.02,0,,,,0.68,,,,,,0,0,0,0,0,0,0,0,0,0
epit_0254,fe_alloy,73.3,23.29,0.71,2.02,0,,,,0.68,,,,,,0,0,0,0,0,0,0,0,0,0
epit_0255,fe_alloy,73.48,21.53,1.44,1.75,0,,0.34,,1.37,0.09,,,,,0,0,0,0,0,0,0,0,0,0
epit_0256,fe_alloy,73.1,19.69,2.14,3.02,0,,,,2.05,,,,,,0,0,0,0,0,0,0,0,0,0
epit_0257,fe_alloy,72.65,21.51,1.43,2.62,0,,0.34,,1.36,0.09,,,,,0,0,0,0,0,0,0,0,0,0
epit_0258,fe_alloy,81.227,16.45,0.11,1.97,0,0.045,0,0.034,0.13,0.034,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0259,fe_alloy,74.165,17,8.3,0.19,0,0.047,0,0.108,,,0.19,,,0,0,0,0,0,0,0,0,0,0,0
epit_0260,fe_alloy,69.941,17.2,10.5,2,0,0.049,0,0.06,,,0.25,,,0,0,0,0,0,0,0,0,0,0,0
epit_0261,fe_alloy,48.975,20,25,4.5,0,0,0,0.025,,,1.5,,,0,0,0,0,0,0,0,0,0,0,0
epit_0262,fe_alloy,54.97,20,18,6.1,0,0.21,0,0.02,,,0.7,,,0,0,0,0,0,0,0,0,0,0,0
epit_0263,fe_alloy,61.29,27.3,7.3,3.8,0,0.31,0,,,,,,,0,0,0,0,0,0,0,0,0,0,
epit_0264,fe_alloy,64.8,28.4,2.6,4.2,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,
epit_0265,fe_alloy,55,19.8,18.6,6.4,0,0.2,0,,,,,,,0,0,0,0,0,0,0,0,0,0,
epit_0266,fe_alloy,64.56,25.2,7.1,3,0,0.14,0,,,,,,,0,0,0,0,0,0,0,0,0,0,
epit_0267,other,100,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0268,other,0,0,0,100,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0269,other,0,20,80,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0270,fe_alloy,86.233,13.68,0,0.08,0,0.004,0,0.003,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0271,fe_alloy,85.8115,13.14,0,1.04,0,0.0035,0,0.005,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0272,fe_alloy,84.514,13.6,0,1.88,0,0.004,0,0.002,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0273,fe_alloy,83.5731,12.94,0,3.48,0,0.0039,0,0.003,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0274,fe_alloy,82.1838,13.04,0,4.77,0,0.0032,0,0.003,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0275,fe_alloy,82.635,17.35,0,0.01,0,0.003,0,0.002,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0276,fe_alloy,81.3234,17.53,0,1.14,0,0.0036,0,0.003,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0277,fe_alloy,80.362,17.61,0,2.02,0,0.004,0,0.004,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0278,fe_alloy,78.8916,17.58,0,3.52,0,0.0034,0,0.005,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0279,fe_alloy,77.8623,17.38,0,4.75,0,0.0037,0,0.004,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0280,fe_alloy,70.995,18.7,10.3,0,0,,0,,,,,,0.005,0,0,0,0,0,0,0,0,0,0,0
epit_0281,fe_alloy,69.695,16.6,11,2.7,0,,0,,,,,,0.005,0,0,0,0,0,0,0,0,0,0,0
epit_0282,fe_alloy,68.534,16.3,14.4,0,0,,0,0.006,0.33,0.43,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0283,fe_alloy,72,0,0,0,0,,0,,,,,,,28,0,0,0,0,0,0,0,0,0,0
epit_0284,fe_alloy,70,2,0,0,0,,0,,,,,,,28,0,0,0,0,0,0,0,0,0,0
epit_0285,fe_alloy,68,4,0,0,0,,0,,,,,,,28,0,0,0,0,0,0,0,0,0,0
epit_0286,fe_alloy,66,6,0,0,0,,0,,,,,,,28,0,0,0,0,0,0,0,0,0,0
epit_0287,fe_alloy,67.95,2,0,2,0,,0,,,,,,,28,0,0,0,0,0,0,0.05,0,0,0
epit_0288,fe_alloy,68.95,2,0,1,0,,0,,,,,,,28,0,0,0,0,0,0,0.05,0,0,0
epit_0289,fe_alloy,67.5,4,0,0.5,0,,0,,,,,,,28,0,0,0,0,0,0,0,0,0,0
epit_0290,fe_alloy,67,4,0,1,0,,0,,,,,,,28,0,0,0,0,0,0,0,0,0,0
epit_0291,fe_alloy,66,4,0,2,0,,0,,,,,,,28,0,0,0,0,0,0,0,0,0,0
epit_0292,fe_alloy,70.5249,28.93,0,0.012,0.011,0.0009,0.11,0.0012,0.41,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0293,fe_alloy,69.4652,28.89,0,0.011,1.08,0.0012,0.13,0.0026,0.42,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0294,fe_alloy,68.5043,28.88,0,0.011,2.08,0.0015,0.1,0.0032,0.42,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0295,fe_alloy,66.4736,28.85,0,0.01,4.1,0.0009,0.12,0.0055,0.44,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0296,fe_alloy,62.4719,28.78,0,0.01,8.17,0.001,0.1,0.0071,0.46,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0297,fe_alloy,69.4473,28.97,0,1.04,0.01,0.0012,0.11,0.0015,0.42,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0298,fe_alloy,68.3564,29.06,0,2.07,0.01,0.0017,0.09,0.0019,0.41,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0299,fe_alloy,66.1551,29.1,0,4.19,0.011,0.0015,0.1,0.0024,0.44,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0300,fe_alloy,72.49,17,8.1,0.17,0,0.05,0,0.108,0.55,1.01,0.19,0.04,0.012,0,0,0,0,0,0.12,0.16,0,0,0,0
epit_0301,fe_alloy,76.765,12.2,0,11,0.02,,0,0.006,0,0,,,0.009,0,0,0,0,0,0,0,0,0,0,0
epit_0302,fe_alloy,67.565,13.9,0,0,18.5,,0,0.002,0.031,0,,,0.002,0,0,0,0,0,0,0,0,0,0,0
epit_0303,fe_alloy,79.642,13.9,0,0,0,,0,0.004,0.03,0.02,,,0.004,0,6.4,0,0,0,0,0,0,0,0,0
epit_0304,fe_alloy,83.58,13.3,0,0,0,,0,0.01,3,0.1,,,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0305,fe_alloy,65.398,25.26,6.39,2.72,0,0.232,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0306,fe_alloy,63.15,25.29,6.89,1.55,2.86,0.26,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0307,fe_alloy,63.059,25.7,7,1.94,2.05,0.251,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0308,hea,21.7,20.2,0,0,0,,0,,,,24.7,,,10.5,0,0,0,0,0,22.9,0,0,0,0
epit_0309,hea,8,0,4,0,0,,0,,0,,,,,28,11,0,0,0,49,0,0,0,0,0
epit_0310,hea,0,25,0,0,0,,0,,14,,,,,13,25,0,0,0,23,0,0,0,0,0
epit_0311,hea,22,21,24,0,0,,0,,0,,,,,9,0,0,0,0,0,24,0,0,0,0
epit_0312,hea,25,23,26,0,0,,0,,0,,,,,0,0,0,0,0,0,26,0,0,0,0
epit_0313,hea,23,21,24,0,0,,0,,0,,,,,0,0,0,0,0,8,24,0,0,0,0
epit_0314,hea,24.58,25.12,25.92,0,0,,0,,,,0,,,0,0,0,0,0,0,24.9,0,0,0,0
epit_0315,hea,20.47,16.48,25.48,0,0,,0,,,,13.49,,,0,0,0,0,0,0,23.99,0,0,0,0
epit_0316,hea,18.78,16.25,21.78,0,0,,0,,,,21.69,,,0,0,0,0,0,0,21.5,0,0,0,0
epit_0317,hea,17.87,16.65,18.79,0,0,,0,0.03,8.99,0,10.17,0.006,0.003,8.63,0,0,0,0,0,18.86,0,0,0,0
epit_0318,hea,23.4,21.8,24.6,0,0,,0,,,,,,,5.6,0,0,0,0,0,24.7,0,0,0,0
epit_0319,hea,31,0,33,0,0,,0,,16,0,,,,14,0,0,0,0,0,0,6,0,0,0
epit_0320,hea,38.03,23.63,13.33,0,0,,0,,0,24.99,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0321,hea,36.68,22.79,12.86,0,0,,0,,0,24.1,,,,3.55,0,0,0,0,0,0,0,0,0,0
epit_0322,hea,25,23,26,0,0,,0,,,,,,,0,0,0,0,0,0,26,0,0,0,0
epit_0323,hea,23.9,22.3,25.1,0,0,,0,,,,,,,3.5,0,0,0,0,0,25.2,0,0,0,0
epit_0324,hea,22.9,21.3,24,0,0,,0,,,,,,,7.7,0,0,0,0,0,24.1,0,0,0,0
epit_0325,hea,19.98,18.4,40.84,0,0,0.0011,0,0.0165,,,,,0.001,0,0,0,0,0,0,20.67,0,0,0,0
epit_0326,hea,18.46,16.95,37.81,7.64,0,0.0009,0,0.016,,,,,0.001,0,0,0,0,0,0,18.99,0,0,0,0
epit_0327,nicrmo_alloy,0,13.31,81.45,5.24,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0328,nicrmo_alloy,0,20.53,74.55,4.92,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0329,nicrmo_alloy,0,16.75,73.56,9.69,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0330,nicrmo_alloy,0,32.02,62.82,5.16,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0331,nicrmo_alloy,0,13.98,74.36,11.66,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0332,nicrmo_alloy,0,10.53,74.44,15.03,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0333,nicrmo_alloy,0,13.06,72.04,14.9,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0334,nicrmo_alloy,0,26.34,54.35,19.3,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0335,nicrmo_alloy,0,16.95,74.64,8.41,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0336,nicrmo_alloy,0,28.67,65.94,5.38,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0337,nicrmo_alloy,0,26.63,66.5,6.87,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0338,nicrmo_alloy,0,18.3,66.67,15.03,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0339,nicrmo_alloy,0,9.52,69.41,21.07,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0340,nicrmo_alloy,0,19.04,57.97,22.98,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0341,nicrmo_alloy,0,22.59,65.14,12.27,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0342,nicrmo_alloy,0,26.52,61.68,11.8,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0343,nicrmo_alloy,0,29.27,56.08,14.64,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0344,al_alloy,0,0,0,0,0,,0,,,,,,,100,0,0,0,0,0,0,0,0,0,0
epit_0345,al_alloy,0,0,0,0,0,,0,,,,1,,,99,0,0,0,0,0,0,0,0,0,0
epit_0346,al_alloy,0,0,0,0,0,,0,,,,2,,,98,0,0,0,0,0,0,0,0,0,0
epit_0347,al_alloy,0,0,0,0,0,,0,,,,3,,,97,0,0,0,0,0,0,0,0,0,0
epit_0348,al_alloy,0,0,0,0,0,,0,,,,4,,,96,0,0,0,0,0,0,0,0,0,0
epit_0349,al_alloy,0,0,0,0,0,,0,,,,5,,,95,0,0,0,0,0,0,0,0,0,0
epit_0350,al_alloy,0,0,15.76,0,0,,0,,,,,,,72.44,0,0,0,0,0,0,0,0,11.8,0
epit_0351,al_alloy,7.99,0,0,0,0,,0,,,,,,,69.5,0,0,0,0,0,0,0,0,0,22.5
epit_0352,al_alloy,5,0,0,0,0,,0,,,,,,,90,0,0,0,0,0,0,0,0,0,5
epit_0353,al_alloy,0,0,0,7.41,0,,0,,,,,,,92.59,0,0,0,0,0,0,0,0,0,0
epit_0354,al_alloy,0,0,0,23.13,0,,0,,,,,,,76.87,0,0,0,0,0,0,0,0,0,0
epit_0355,al_alloy,0,0,0,32.66,0,,0,,,,,,,67.34,0,0,0,0,0,0,0,0,0,0
epit_0356,al_alloy,0,12.33,0,0,0,,0,,,,,,,87.67,0,0,0,0,0,0,0,0,0,0
epit_0357,al_alloy,0,14.35,0,0,0,,0,,,,,,,85.65,0,0,0,0,0,0,0,0,0,0
epit_0358,al_alloy,0,23.88,0,0,0,,0,,,,,,,76.12,0,0,0,0,0,0,0,0,0,0
epit_0359,al_alloy,0,0,0,9.29,0,,0,,,,,,,90.71,0,0,0,0,0,0,0,0,0,0
epit_0360,al_alloy,0,0,0,16.88,0,,0,,,,,,,83.12,0,0,0,0,0,0,0,0,0,0
epit_0361,al_alloy,0,0,0,29.22,0,,0,,,,,,,70.78,0,0,0,0,0,0,0,0,0,0
epit_0362,al_alloy,0,0,0,9.91,0,,0,,,,,,,90.09,0,0,0,0,0,0,0,0,0,0
epit_0363,al_alloy,0,0,0,12.91,0,,0,,,,,,,87.09,0,0,0,0,0,0,0,0,0,0
epit_0364,al_alloy,0,0,0,15.77,0,,0,,,,,,,84.23,0,0,0,0,0,0,0,0,0,0
epit_0365,al_alloy,0,0,0,18.5,0,,0,,,,,,,81.5,0,0,0,0,0,0,0,0,0,0
epit_0366,al_alloy,0,0,0,24.11,0,,0,,,,,,,75.89,0,0,0,0,0,0,0,0,0,0
epit_0367,al_alloy,0,0,0,0,0,,15.34,,,,,,,84.66,0,0,0,0,0,0,0,0,0,0
epit_0368,al_alloy,0,0,0,0,0,,37.8,,,,,,,62.2,0,0,0,0,0,0,0,0,0,0
epit_0369,al_alloy,0,0,0,0,0,,54.75,,,,,,,45.25,0,0,0,0,0,0,0,0,0,0
epit_0370,al_alloy,0,0,0,0,0,,64.96,,,,,,,35.04,0,0,0,0,0,0,0,0,0,0
epit_0371,al_alloy,0,0,0,28.32,0,,0,,,,,,,71.68,0,0,0,0,0,0,0,0,0,0
epit_0372,al_alloy,0,0,0,38.56,0,,0,,,,,,,61.44,0,0,0,0,0,0,0,0,0,0
epit_0373,al_alloy,0,0,0,44.67,0,,0,,,,,,,55.33,0,0,0,0,0,0,0,0,0,0
epit_0374,al_alloy,0,0,0,55.55,0,,0,,,,,,,44.45,0,0,0,0,0,0,0,0,0,0
epit_0375,al_alloy,0,0,0,59.23,0,,0,,,,,,,40.77,0,0,0,0,0,0,0,0,0,0
epit_0376,other,0,0,0,62.06,0,,0,,,,,,,37.94,0,0,0,0,0,0,0,0,0,0
epit_0377,al_alloy,0,0,0,41.27,0,,0,,,,,,,58.73,0,0,0,0,0,0,0,0,0,0
epit_0378,al_alloy,0,0,0,57.43,0,,0,,,,,,,42.57,0,0,0,0,0,0,0,0,0,0
epit_0379,other,0,0,0,72.03,0,,0,,,,,,,27.97,0,0,0,0,0,0,0,0,0,0
epit_0380,al_alloy,0,4.71,0,0,0,,0,,,,,,,95.29,0,0,0,0,0,0,0,0,0,0
epit_0381,al_alloy,0,20.03,0,0,0,,0,,,,,,,79.97,0,0,0,0,0,0,0,0,0,0
epit_0382,al_alloy,0,45.23,0,0,0,,0,,,,,,,54.77,0,0,0,0,0,0,0,0,0,0
epit_0383,al_alloy,0,9.21,0,0,0,,0,,,,,,,90.79,0,0,0,0,0,0,0,0,0,0
epit_0384,al_alloy,0,26.12,0,0,0,,0,,,,,,,73.88,0,0,0,0,0,0,0,0,0,0
epit_0385,al_alloy,0,17.64,0,0,0,,0,,,,,,,82.36,0,0,0,0,0,0,0,0,0,0
epit_0386,al_alloy,0,39.74,0,0,0,,0,,,,,,,60.26,0,0,0,0,0,0,0,0,0,0
epit_0387,al_alloy,0,50.37,0,0,0,,0,,,,,,,49.63,0,0,0,0,0,0,0,0,0,0
epit_0388,al_alloy,0,54.15,0,0,0,,0,,,,,,,45.85,0,0,0,0,0,0,0,0,0,0
epit_0389,other,0,60.71,0,0,0,,0,,,,,,,39.29,0,0,0,0,0,0,0,0,0,0
epit_0390,al_alloy,0,0,0,0,27.21,,0,,,,,,,72.29,0,0,0,0,0,0,0,0,0,0
epit_0391,al_alloy,0,0,0,0,0,,0,,,,,,,74.46,0,0,0,12.89,0,12.65,0,0,0,0
epit_0392,al_alloy,0,0,0,0,0,,0,,,,,,,67.79,0,0,0,17.4,0,14.81,0,0,0,0
epit_0393,al_alloy,0,0,0,0,0,,0,,,,,,,65.19,0,0,0,23.35,0,11.46,0,0,0,0
epit_0394,al_alloy,0,0,0,0,0,,0,,,,,,,67.72,0,0,0,27.35,0,4.93,0,0,0,0
epit_0395,al_alloy,0,0,11.1,0,0,,0,,,,,,,63.41,0,0,0,0,0,0,0,0,0,25.49
epit_0396,al_alloy,9.78,0,0,0,0,,0,,,,,,,58.74,0,0,0,0,0,0,0,0,0,31.48
epit_0397,al_alloy,0,0,0,0,0,,0,,,,0.2,,,99.8,0,0,0,0,0,0,0,0,0,0
epit_0398,al_alloy,0.17,0.01,0,0,0,,0,,0.06,0.63,4.54,,,92.97,0,0,0,0,0.03,0,0,1.51,0,0
epit_0399,al_alloy,0.0007,0,,,,,,,0.0016,,0.0039,,,99.99,0,0,0,0,0,0,0,0,0,0
epit_0400,al_alloy,0.48,0.002,,,,,,,0.08,0.004,0.1,,,99.4,0,0,0,0,0,0,0,0,0,0
epit_0401,al_alloy,0.002,0,,,,,,,0.002,1.3,0.006,,,98.689,0,0,0,0,0,0,0,0,0,0
epit_0402,al_alloy,0.16,0.23,,,,,,,0.08,0.02,0.04,,,97.04,0,0,0,0,0,0,0,2.43,0,0
