template_id,family,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd
epit_0041,fe_alloy,72.069,16.62,8.46,0.21,0,,0,0.054,0.56,1.78,0.21,0.03,0.007,0,0,0,0,0,0,0,0,0,0,0
epit_0042,fe_alloy,47.753,18.5,31.79,0.2,0,,0,0.023,0.39,0.7,0.64,,0.004,0,0,0,0,0,0,0,0,0,0,0
epit_0043,other,9.719,15.5,73.86,,0,,0,0.04,0.26,0.31,0.31,,0.001,0,0,0,0,0,0,0,0,0,0,0
epit_0044,fe_alloy,53.167,20.14,24.75,0.08,0,0.01,0,0.003,0.53,1.31,,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0045,fe_alloy,53.102,20.14,24.75,0.08,0,0.064,0,0.014,0.53,1.31,,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0046,fe_alloy,52.927,20.03,24.87,0.04,0,0.13,0,0.014,0.55,1.43,,0.009,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0047,fe_alloy,52.917,19.96,24.9,0.04,0,0.18,0,0.013,0.55,1.43,,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0048,fe_alloy,49.452,19.2,24.86,4.5,0,0.015,0,0.003,0.54,1.42,,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0049,fe_alloy,48.739,19.85,24.86,4.5,0,0.061,0,0.02,0.54,1.42,,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0050,fe_alloy,48.536,19.87,24.95,4.55,0,0.13,0,0.015,0.49,1.45,,0.009,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0051,fe_alloy,48.377,19.83,24.99,4.59,0,0.21,0,0.014,0.54,1.44,,0.009,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0052,fe_alloy,67.041,21.89,5.57,3.22,0,0.047,0,0.014,0.49,1.72,,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0
epit_0053,fe_alloy,67.213,21.72,5.58,3.16,0,0.077,0,0.012,0.49,1.74,,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0
epit_0054,fe_alloy,66.839,21.92,5.6,3.22,0,0.123,0,0.01,0.51,1.77,,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0
