dataset,table,target,feature,current_group,semantic_domain,causal_role,statistical_family,method,score,n,levels
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.","Composition, wt.% N",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.12513624666801051,266,110
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,SpMin5_Bh(p),intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12476008474321809,60,48
mg_az91_inhibitors,Features,IE,Mor08s,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12475901486509502,68,68
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,R1u,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12474122270385542,60,59
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS2D_04_DL,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12471395927411535,60,5
mg_az91_inhibitors,Features,IE,CATS3D_04_PL,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12467569452565856,68,3
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Mor16m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1245987744503129,60,55
mg_az91_inhibitors,Features,IE,Mor27i,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12458722307596011,68,68
mg_az91_inhibitors,Features,IE,ATSC1i,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12457041538316012,68,58
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,khs.aaaC,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12423219267732138,2011,3
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,khs.dCH2,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12420730423527793,2011,3
mg_az91_inhibitors,Features,IE,C-016,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12409013021186033,68,3
mg_az91_inhibitors,Features,IE,GATS2e,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1236983516938174,68,63
electrochemical_metrics_alloys,"HEAs_Ecorr, icorr, ipass, Rate","iCORR, A/cm2 Avg.","Composition, wt.% Fe",material,material,base_material_condition,composition_component,abs_spearman,0.12346406637872738,50,31
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Eig13_AEA(ed),intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12340122582157897,60,7
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Eta_L,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12320411287236023,60,56
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,PJI2,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12316095994740094,60,7
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Au,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12310000876408317,60,60
mg_az91_inhibitors,Features,IE,GATS2s,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12295872134337368,68,65
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,E1e,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12291403244249521,60,55
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,SC.3,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12285973861370418,2011,84
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,R2m+,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12268293365491302,60,52
mg_az91_inhibitors,Features,IE,AromaticityIdentifier,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12219030305664572,68,2
mg_az91_inhibitors,Features,IE,MATS4p,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12202105468915346,68,67
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Corrosion current density (µA/cm2),Electrolyte concentration (M),environment,environment,exposure_context,concentration_like,abs_spearman,0.12193496226748826,58,3
mg_az91_inhibitors,Features,IE,Mor08v,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12185764242637188,68,68
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,nAromRings,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12175433202624981,2011,6
mg_az91_inhibitors,Features,IE,nSK,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12169893191045733,68,16
mg_az91_inhibitors,Features,IE,MW,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12161452815360642,68,57
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,nCONN,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12154090018575453,60,2
mg_az91_inhibitors,Features,IE,MATS2v,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12136946297365606,68,63
steel_mortar_corrosion,02_Chloride,Electrical Resistivity of mortar,Degree of Saturation of mortar,environment,environment,exposure_context,bounded_0_1,abs_spearman,0.12125796025563594,95,80
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,R5p,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12125507216774395,60,52
electrochemical_metrics_alloys,"HEAs_Ecorr, icorr, ipass, Rate","iCORR, A/cm2 Avg.","Composition, wt.% Mo",material,material,base_material_condition,composition_component,abs_spearman,0.12124756951653069,50,5
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS2D_03_DL,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12103436820853433,60,7
mg_az91_inhibitors,Features,IE,nBO,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12101906144689875,68,17
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Chi_D,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12096281228857611,60,46
mg_az91_inhibitors,Features,IE,Mor05s,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12082689169156234,68,68
mg_az91_inhibitors,Features,IE,ATSC5s,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12070727241541362,68,61
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Corrosion potential (mV vs. SCE),Fe,material,material,base_material_condition,composition_component,abs_spearman,0.1205483602212905,81,14
mg_az91_inhibitors,Features,IE,TDB06m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12038682034758313,68,55
mg_az91_inhibitors,Features,IE,GGI3,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12022388475965502,68,23
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Mor13u,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12018395816310419,60,59
mpea_corrosion,Sheet1,Corrosion potential (mV vs SCE),Al,material,material,base_material_condition,composition_component,abs_spearman,0.12016378054254444,616,74
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,nOHs,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1200766510776649,60,5
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Eig13_EA(bo),intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.12001603644561752,60,4
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,RDF045m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1199783224829465,60,56
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,SIC2,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1198793843216969,60,52
mg_az91_inhibitors,Features,IE,Mi,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11978271879851123,68,56
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,R6u,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11947166466442938,60,50
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",[Cl-] pH,environment,environment,exposure_context,signed_continuous_numeric,abs_spearman,0.1194160182123211,712,26
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Psi_i_0d,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11940881899607622,60,35
mg_az91_inhibitors,Features,IE,RBF,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11935227649030411,68,27
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,C-019,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1192344116164827,60,2
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,MATS2p,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11922627999074525,60,52
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,SpPosA_B(p),intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11921569758788894,60,52
mg_az91_inhibitors,Features,IE,P_VSA_LogP_5,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11917254460459088,68,21
mg_az91_inhibitors,Features,IE,Mor18m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1191471497533542,68,68
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,MDEC.13,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1191456061334627,2011,51
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Corrosion potential (mV vs. SCE),Mn,material,material,base_material_condition,composition_component,abs_spearman,0.11890644150694477,81,6
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,C1SP2,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11889702055201383,2011,7
mg_az91_inhibitors,Features,IE,B04[C-C],intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11888507287795097,68,2
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,HGM,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11868174659850995,60,60
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,R1s+,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11841940756348406,60,59
mpea_corrosion,Sheet1,Corrosion potential (mV vs SCE),Cr,material,material,base_material_condition,composition_component,abs_spearman,0.11837305221793237,616,79
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,MATS2v,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11835084227053351,60,52
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,nAtom,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11801298924923326,2011,46
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS2D_06_PP,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11795859476642198,60,2
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,ATS5p,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1179396684797535,60,57
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,MATS2m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11768220673047615,60,53
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,ARR,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1174563997490455,60,12
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,JGI2,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11731894729819405,60,32
mg_az91_inhibitors,Features,IE,ATS4p,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1171844431152637,68,65
mg_az91_inhibitors,Features,IE,Mor16e,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1171047362603057,68,68
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,PetitjeanNumber,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11705404578539244,2011,13
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,topoShape,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11705404578539244,2011,13
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,WTPT.4,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11705140946341709,2011,101
mg_az91_inhibitors,Features,IE,Mor17s,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11693294447117077,68,68
mg_az91_inhibitors,Features,IE,Mor24e,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1169138564946002,68,68
mg_az91_inhibitors,Features,IE,GATS7e,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11675237033530181,68,27
mpea_corrosion,Sheet1,Corrosion potential (mV vs SCE),Zn,material,material,base_material_condition,composition_component,abs_spearman,0.11670794502292482,616,3
mpea_corrosion,Sheet1,Corrosion potential (mV vs SCE),Mg,material,material,base_material_condition,composition_component,abs_spearman,0.11670752267533711,616,4
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,AECC,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11666921980850768,60,42
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,ATSm5,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11644239243561307,2011,138
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,SpAD_EA(dm),intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1163641990178376,60,27
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,SpMax8_Bh(i),intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11631596451307526,60,39
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,SPC.6,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11626293076573828,2011,106
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Eta_D_psiA,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11624061020648671,60,39
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS2D_05_AA,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11622912010171067,60,7
mg_az91_inhibitors,Features,IE,Mor06u,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11607398552549615,68,68
mg_az91_inhibitors,Features,IE,Mor01m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11602020257875646,68,57
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,GATS3s,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11596981951180008,60,53
mg_az91_inhibitors,Features,IE,Mor13s,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11571131397065576,68,68
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS2D_05_AN,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11540064428556425,60,5
