dataset,table,target,feature,current_group,semantic_domain,causal_role,statistical_family,method,score,n,levels
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Eta_D_epsiC,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1392556381808318,60,49
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,MDEC.12,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1392257685957329,2011,45
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,pH,environment,environment,exposure_context,signed_continuous_numeric,abs_spearman,0.13918829746548034,2011,28
mg_az91_inhibitors,Features,IE,CATS3D_02_AL,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.13907591746027087,68,13
mg_az91_inhibitors,Features,IE,Mor01e,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.13893211619588935,68,57
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Eig10_AEA(bo),intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.13876853241611717,60,19
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,MATS5e,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.13875571555760863,60,54
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,ATS6m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.13869893275295572,60,45
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,R7s+,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.13845188748326434,60,38
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,P1v,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1383967651974034,60,55
datacortech_aluminum_inhibitors,Efficiencies_with_descriptors,Efficiency,nG,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.13836094645254413,2011,5
mg_az91_inhibitors,Features,IE,P_VSA_ppp_ar,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.13834033042966648,68,21
