optuna_validation_fold,fold_output_dir,model,model_kind,model_source,task_id,dataset,table,target,target_threshold_median,target_binning,target_bins,target_bin_edges,regression_output,regression_uncertainty,regression_quantile_alphas,n_samples,n_train,n_test,n_features,pitting_magpie_features,n_classes,class_labels,class_counts,positive_label,positive_rate,split_strategy,split_group_count,split_train_group_count,split_test_group_count,split_group_overlap_count,include_in_summary,summary_exclusion_reason,task_quality_flags,task_family,test_mae,test_rmse,test_r2,test_spearman,test_pearson,test_nmae_iqr,test_nrmse_iqr,feature_groups,feature_group_counts,dropped_feature_columns,test_pinball_loss,test_npinball_iqr,test_quantile_calibration_mae,test_quantile_calibration_max_error,test_interval_50_coverage,test_interval_50_coverage_error,test_interval_50_mean_width,test_interval_50_nwidth_iqr,test_interval_50_winkler,test_interval_50_nwinkler_iqr,test_interval_80_coverage,test_interval_80_coverage_error,test_interval_80_mean_width,test_interval_80_nwidth_iqr,test_interval_80_winkler,test_interval_80_nwinkler_iqr,test_interval_90_coverage,test_interval_90_coverage_error,test_interval_90_mean_width,test_interval_90_nwidth_iqr,test_interval_90_winkler,test_interval_90_nwinkler_iqr
1,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/epit_pipeline/optuna_v2/evaluations/epit_pipeline_optuna_empirical_features_scm_target_v7/development_folds_tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11022_trial_0018/fold_1,trial_0018,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_optuna_empirical_features_scm_target_v7/tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11022_trial_0018/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_1,0,0,0,0,True,,,normal_corrosion,246.72185180683223,387.3513971357108,-0.1200153840453339,0.4164802300846771,0.3507684343270675,0.4950749756584592,0.7772638787519093,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,
2,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/epit_pipeline/optuna_v2/evaluations/epit_pipeline_optuna_empirical_features_scm_target_v7/development_folds_tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11022_trial_0018/fold_2,trial_0018,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_optuna_empirical_features_scm_target_v7/tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11022_trial_0018/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,normal_corrosion,213.33965369681852,289.99425008945406,0.4001401887041078,0.5887185041883547,0.6442033952151384,0.4191410555102846,0.5697416957802993,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,
3,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/epit_pipeline/optuna_v2/evaluations/epit_pipeline_optuna_empirical_features_scm_target_v7/development_folds_tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11022_trial_0018/fold_3,trial_0018,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_optuna_empirical_features_scm_target_v7/tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11022_trial_0018/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,186.10375810963987,253.29026339929936,0.5331952740041483,0.694805098923246,0.7541265118623165,0.3587784392385796,0.4883033330428064,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,
4,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/epit_pipeline/optuna_v2/evaluations/epit_pipeline_optuna_empirical_features_scm_target_v7/development_folds_tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11022_trial_0018/fold_4,trial_0018,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_optuna_empirical_features_scm_target_v7/tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11022_trial_0018/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,487,121,21,False,0,,,,,epit_pipeline_development_fold_4,0,0,0,0,True,,,normal_corrosion,234.6628384556936,317.9286030182632,0.2635061292186282,0.4461790942460969,0.5396660586446927,0.4575216191376361,0.6198646968576003,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,
5,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/epit_pipeline/optuna_v2/evaluations/epit_pipeline_optuna_empirical_features_scm_target_v7/development_folds_tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11022_trial_0018/fold_5,trial_0018,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_optuna_empirical_features_scm_target_v7/tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11022_trial_0018/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,487,121,21,False,0,,,,,epit_pipeline_development_fold_5,0,0,0,0,True,,,normal_corrosion,227.82640495563743,309.36530398971775,0.7135090104908484,0.8962095591082052,0.911676903308444,0.4925976323365134,0.6688979545723627,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,
