metric,n,spearman,kendall_tau
all_score_spearman,32,0.23240469208211137,0.1370967741935484
informed_score_spearman,32,0.2668621700879765,0.1532258064516129
generic_score_spearman,15,-0.43214285714285705,-0.29523809523809524
pren_score_spearman,32,-0.08541055718475073,-0.052419354838709686
fake_pren_score_spearman,15,-0.024999999999999998,-0.028571428571428574
all_score_mae,32,-0.2382697947214076,-0.16935483870967744
all_score_rmse,32,-0.0971407624633431,-0.0685483870967742
