trial_number,trial_id,trial_result_path,mean_test_spearman,median_test_spearman,std_test_spearman,mean_test_mae,mean_test_rmse,mean_test_r2,model,n_synth_requested,n_informed_sampled,n_generic_sampled,informed_sample_fraction,elapsed_seconds,epit_environment_coef,epit_interaction_coef,epit_material_coef,informed_feature_block_strength,informed_interaction_strength,informed_physical_marginal_prob,informed_prior_ratio,mlp_prob,pitting_material_dirichlet_active_prob,pitting_material_dirichlet_concentration,pitting_material_dirichlet_prob
13,trial_0013,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0013/trial_result.json,0.817132322644585,0.8325702851267057,0.036034455911162,170.43514758162075,241.81000499325083,0.6766878228754891,hist_gradient_boosting,256,256,0,1.0,186.88190031051636,0.42236630657550434,0.7594357773856608,0.48925962224842173,0.5878856486994934,0.9918983601681818,0.0,1.0,0.75,0.7,0.25,0.0
14,trial_0014,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0014/trial_result.json,0.7825663190580577,0.7855687870211279,0.0274582118716151,197.3393107808305,269.1052366342197,0.6001412554012878,hist_gradient_boosting,256,256,0,1.0,167.04974174499512,0.36221454968823263,0.7559496601818374,0.5724787062208951,0.6318439092438963,0.6388535890702534,0.0,1.0,0.25,0.7,0.25,0.0
15,trial_0015,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0015/trial_result.json,0.8100199921308772,0.8277501121338204,0.0347122230243201,168.5795639875495,252.30417293145277,0.6481182947418026,hist_gradient_boosting,256,256,0,1.0,185.16973757743835,0.40495860967448827,0.7850307221316805,0.456755875674286,0.6951153461802538,0.7432469719789322,0.0,1.0,1.0,0.7,0.25,0.0
16,trial_0016,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0016/trial_result.json,0.6690339922422475,0.6734971944703887,0.0335590566323086,208.17750420293896,296.91074764759026,0.5146072538565153,hist_gradient_boosting,256,256,0,1.0,183.05340194702148,0.4305116569432734,0.7065294262367476,0.5685103702529846,0.5341762139196633,0.0026145686804278645,0.25,1.0,0.75,0.2,0.25,0.5
17,trial_0017,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0017/trial_result.json,0.8012017777128919,0.8024811404086397,0.0253724980968655,171.81247918928338,248.5957599005366,0.6590198726726418,hist_gradient_boosting,256,256,0,1.0,193.09118390083313,0.3831595701770746,0.8041850321906555,0.4915296400983765,0.31830120920208826,0.5464675644307955,0.0,1.0,0.75,0.7,0.5,0.0
18,trial_0018,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0018/trial_result.json,0.7785007299225456,0.7745624086315795,0.0279812895880009,178.677895430001,252.8087647877053,0.6478719012750485,hist_gradient_boosting,256,68,188,0.265625,198.0186746120453,0.6438799829127583,0.7500794223857974,0.5516657893378365,0.539110868764553,0.7592778185742657,0.0,0.25,0.75,0.7,0.1,0.0
19,trial_0019,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0019/trial_result.json,-0.0426710141551818,0.1086365741869716,0.2250271485643229,335.44559883089914,438.5068189432727,-0.0563539711118356,hist_gradient_boosting,256,256,0,1.0,158.6275863647461,0.4591993644000201,0.7200262061065237,0.5114321285969311,0.7547623343661886,0.9324913796640544,0.0,1.0,0.0,0.2,0.25,0.0
20,trial_0020,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0020/trial_result.json,0.6704794986564978,0.6789498940745252,0.050234276058501,233.61938583534103,314.4284940299217,0.4544787855736049,hist_gradient_boosting,256,256,0,1.0,174.08230018615723,0.5455215804311108,0.8429380451276556,0.4773193398392308,0.3606069604628019,0.7224994066315409,1.0,1.0,0.25,0.5,0.25,0.5
21,trial_0021,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0021/trial_result.json,0.8049371848490361,0.8226998655479901,0.0348040692500565,167.77501734537398,244.78626115671364,0.6686998341807933,hist_gradient_boosting,256,256,0,1.0,193.4057056903839,0.394640336280662,0.7915369014075604,0.45641571174118184,0.6954391059720293,0.7623576512895771,0.0,1.0,1.0,0.7,0.25,0.0
22,trial_0022,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0022/trial_result.json,0.8005484928278532,0.8217966427315614,0.0372304331315538,172.14426919624876,251.4403800357228,0.6501903654232797,hist_gradient_boosting,256,256,0,1.0,195.4990530014038,0.4216529652184838,0.781749743291009,0.4526132535534544,0.7566781906657971,0.9984190175368488,0.0,1.0,1.0,0.7,0.25,0.0
23,trial_0023,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0023/trial_result.json,0.6241534179953179,0.6502928214558329,0.0589904210562192,237.59619413841284,318.62528760944485,0.4397865511637657,hist_gradient_boosting,256,256,0,1.0,197.85423231124878,0.38087839723970024,0.8182225091192397,0.4760435830402527,0.9489221327129478,0.8564471016584472,0.0,1.0,1.0,0.7,0.25,0.0
24,trial_0024,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0024/trial_result.json,0.8251428715154979,0.8278165540514125,0.0432185835002981,161.28483468078758,228.47345184528385,0.711846669530913,hist_gradient_boosting,256,256,0,1.0,202.29395580291748,0.43695588567289,0.7692515277097158,0.49758548941613134,0.5400108374321719,0.5248095927779556,0.0,1.0,1.0,0.7,0.25,0.0
25,trial_0025,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0025/trial_result.json,0.8315136512427376,0.8450764907721298,0.0331065576015344,157.0400952099166,231.966979722562,0.7026435853049213,hist_gradient_boosting,256,256,0,1.0,205.99137425422668,0.4365322759660659,0.8799340760508922,0.5023930269720049,0.5347599342738529,0.49007430374910677,0.25,1.0,1.0,0.9,0.25,0.0
26,trial_0026,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0026/trial_result.json,0.8211618506917706,0.8165043675311027,0.0305206582657562,163.495005555011,239.15021451755388,0.6853299626957325,hist_gradient_boosting,256,193,63,0.75390625,199.40846610069275,0.4664403362519886,0.8797861618063018,0.5372581545228782,0.5603278791913423,0.49358447855711624,0.25,0.75,1.0,0.9,0.5,0.0
27,trial_0027,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0027/trial_result.json,0.8281435313297948,0.8450022244706753,0.030927760519634,151.8736119485649,224.85993920382225,0.7207587782599842,hist_gradient_boosting,256,193,63,0.75390625,198.10768961906433,0.4793237209703158,0.9034528030653478,0.5448053929341158,0.38005178848502774,0.5034029771451566,0.25,0.75,1.0,0.9,0.5,0.0
28,trial_0028,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0028/trial_result.json,0.8317144530277366,0.8352262068104431,0.0313830042564001,153.22303954160415,226.9286081499832,0.7157335672750726,hist_gradient_boosting,256,186,70,0.7265625,203.67918586730957,0.44584093162644206,0.8968342004648815,0.592622724704637,0.41041617323115137,0.40799505081958937,0.25,0.75,1.0,0.9,0.5,0.5
29,trial_0029,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0029/trial_result.json,0.8312201886675789,0.8554500973043355,0.0437570326706819,151.27631897709324,227.036418435734,0.714836644759995,hist_gradient_boosting,256,192,64,0.75,196.73714756965637,0.4773720298264761,0.9172795110693763,0.5974811306818307,0.4217780644216394,0.345950130813268,0.25,0.75,1.0,0.9,0.5,0.5
30,trial_0030,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0030/trial_result.json,0.8230236024786214,0.8293483488543715,0.0366940911726932,157.00077497660814,228.7581729442153,0.7123799080916104,hist_gradient_boosting,256,194,62,0.7578125,206.6959252357483,0.4464748001172891,0.9170042512352229,0.5954063550779184,0.45363807079203505,0.3170149497082807,0.25,0.75,1.0,0.9,0.5,0.5
31,trial_0031,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0031/trial_result.json,0.8189122076001898,0.8245342615895609,0.0313708286766939,155.7994158234139,228.48261665716944,0.7121922986430401,hist_gradient_boosting,256,191,65,0.74609375,202.78536105155945,0.47812163321743245,0.9128117897152958,0.5968621517430495,0.39692239156707837,0.4329641216685287,0.25,0.75,1.0,0.9,0.5,0.5
