draw_index,sample_scope,metric,n_trials,spearman,kendall_tau
13,all,surrogate_rmse,32,0.00036656891495601173,-0.01612903225806452
13,informed,surrogate_spearman,25,-0.26615384615384613,-0.19999999999999996
13,generic,surrogate_spearman,7,0.0,0.04761904761904762
13,informed,pren_spearman,25,0.061538461538461535,0.033333333333333326
13,generic,fake_pren_spearman,7,0.0,0.04761904761904762
14,all,surrogate_spearman,32,-0.059384164222873896,-0.024193548387096777
14,all,surrogate_mae,32,0.15065982404692083,0.10080645161290325
14,all,surrogate_rmse,32,0.08651026392961875,0.05645161290322581
14,informed,surrogate_spearman,26,-0.1158974358974359,-0.08307692307692308
14,generic,surrogate_spearman,6,0.08571428571428573,0.06666666666666665
14,informed,pren_spearman,26,-0.009230769230769232,0.009230769230769232
14,generic,fake_pren_spearman,6,0.6,0.3333333333333333
15,all,surrogate_spearman,32,-0.3354105571847507,-0.23790322580645165
15,all,surrogate_mae,32,0.09787390029325513,0.0685483870967742
15,all,surrogate_rmse,32,0.041788856304985335,0.036290322580645164
15,informed,surrogate_spearman,26,-0.45777777777777773,-0.3353846153846154
15,generic,surrogate_spearman,6,-0.48571428571428577,-0.3333333333333333
15,informed,pren_spearman,26,0.3264957264957265,0.2553846153846154
15,generic,fake_pren_spearman,6,0.028571428571428574,-0.06666666666666665
16,all,surrogate_spearman,32,0.0157624633431085,0.01612903225806452
16,all,surrogate_mae,32,-0.1348973607038123,-0.08467741935483872
16,all,surrogate_rmse,32,-0.14369501466275658,-0.09677419354838711
16,informed,surrogate_spearman,27,-0.15079365079365079,-0.09401709401709403
16,generic,surrogate_spearman,5,0.7,0.6
16,informed,pren_spearman,27,0.15873015873015872,0.11111111111111113
16,generic,fake_pren_spearman,5,-0.09999999999999999,0.0
17,all,surrogate_spearman,32,-0.0813782991202346,-0.06451612903225808
17,all,surrogate_mae,32,-0.02639296187683284,-0.01612903225806452
17,all,surrogate_rmse,32,-0.05975073313782991,-0.052419354838709686
17,informed,surrogate_spearman,27,-0.1349206349206349,-0.10541310541310543
17,generic,surrogate_spearman,5,0.6,0.39999999999999997
17,informed,pren_spearman,27,-0.08424908424908426,-0.03703703703703704
17,generic,fake_pren_spearman,5,0.3,0.19999999999999998
18,all,surrogate_spearman,32,-0.14699413489736068,-0.1088709677419355
18,all,surrogate_mae,32,0.1975806451612903,0.12903225806451615
18,all,surrogate_rmse,32,0.2107771260997067,0.14112903225806453
18,informed,surrogate_spearman,24,-0.36695652173913035,-0.2681159420289855
18,generic,surrogate_spearman,8,0.2380952380952381,0.21428571428571427
18,informed,pren_spearman,24,-0.16695652173913042,-0.08695652173913043
18,generic,fake_pren_spearman,8,0.8571428571428572,0.6428571428571428
19,all,surrogate_spearman,32,-0.1598240469208211,-0.11290322580645162
19,all,surrogate_mae,32,-0.05095307917888562,-0.05645161290322581
19,all,surrogate_rmse,32,-0.07807917888563048,-0.0685483870967742
19,informed,surrogate_spearman,29,-0.21674876847290636,-0.14778325123152708
19,generic,surrogate_spearman,3,0.5,0.33333333333333337
19,informed,pren_spearman,29,-0.02068965517241379,-0.014778325123152707
19,generic,fake_pren_spearman,3,0.5,0.33333333333333337
20,all,surrogate_spearman,32,0.1638563049853372,0.08064516129032259
20,all,surrogate_mae,32,-0.1440615835777126,-0.07661290322580645
20,all,surrogate_rmse,32,-0.15615835777126097,-0.07258064516129033
20,informed,surrogate_spearman,27,0.21306471306471303,0.11680911680911683
20,generic,surrogate_spearman,5,-0.19999999999999998,-0.19999999999999998
20,informed,pren_spearman,27,0.32905982905982906,0.21937321937321938
20,generic,fake_pren_spearman,5,-0.6,-0.39999999999999997
21,all,surrogate_spearman,32,0.012463343108504396,0.01612903225806452
21,all,surrogate_mae,32,-0.21151026392961875,-0.15725806451612906
21,all,surrogate_rmse,32,-0.17998533724340174,-0.12500000000000003
21,informed,surrogate_spearman,28,-0.0240831964969896,-0.010582010582010581
21,generic,surrogate_spearman,4,0.6000000000000001,0.3333333333333334
21,informed,pren_spearman,28,-0.17077175697865354,-0.1164021164021164
21,generic,fake_pren_spearman,4,0.7999999999999999,0.6666666666666669
22,all,surrogate_spearman,32,0.056451612903225805,0.01612903225806452
22,all,surrogate_mae,32,-0.0219941348973607,-0.03225806451612904
22,all,surrogate_rmse,32,-0.03995601173020528,-0.028225806451612906
22,informed,surrogate_spearman,27,-0.1398046398046398,-0.10541310541310543
22,generic,surrogate_spearman,5,0.09999999999999999,0.0
22,informed,pren_spearman,27,-0.004273504273504274,0.025641025641025644
22,generic,fake_pren_spearman,5,0.49999999999999994,0.19999999999999998
23,all,surrogate_spearman,32,0.14626099706744866,0.10483870967741937
23,all,surrogate_mae,32,-0.21774193548387094,-0.1370967741935484
23,all,surrogate_rmse,32,-0.2888563049853372,-0.19354838709677422
23,informed,surrogate_spearman,26,0.07965811965811966,0.06461538461538462
23,generic,surrogate_spearman,6,-0.028571428571428574,-0.06666666666666665
23,informed,pren_spearman,26,-0.20478632478632477,-0.14461538461538462
23,generic,fake_pren_spearman,6,0.7714285714285715,0.6
24,all,surrogate_spearman,32,-0.23753665689149558,-0.1532258064516129
24,all,surrogate_mae,32,0.0,-0.01612903225806452
24,all,surrogate_rmse,32,0.1066715542521994,0.08467741935483872
24,informed,surrogate_spearman,27,-0.24297924297924298,-0.1566951566951567
24,generic,surrogate_spearman,5,-0.6,-0.39999999999999997
24,informed,pren_spearman,27,0.3815628815628816,0.24786324786324793
24,generic,fake_pren_spearman,5,0.7,0.6
25,all,surrogate_spearman,32,-0.06818181818181818,-0.03225806451612904
25,all,surrogate_mae,32,0.18475073313782991,0.1370967741935484
25,all,surrogate_rmse,32,0.16165689149560114,0.11693548387096775
25,informed,surrogate_spearman,25,-0.21615384615384614,-0.12666666666666662
25,generic,surrogate_spearman,7,0.8928571428571429,0.8095238095238096
25,informed,pren_spearman,25,0.45076923076923076,0.3266666666666666
25,generic,fake_pren_spearman,7,0.4642857142857144,0.33333333333333337
26,all,surrogate_spearman,32,-0.041788856304985335,-0.03225806451612904
26,all,surrogate_mae,32,-0.24376832844574778,-0.1532258064516129
26,all,surrogate_rmse,32,-0.17082111436950145,-0.1088709677419355
26,informed,surrogate_spearman,24,-0.049565217391304345,-0.028985507246376812
26,generic,surrogate_spearman,8,-0.14285714285714288,-0.07142857142857142
26,informed,pren_spearman,24,0.32695652173913037,0.21739130434782608
26,generic,fake_pren_spearman,8,0.2142857142857143,0.07142857142857142
27,all,surrogate_spearman,32,-0.09420821114369501,-0.07661290322580645
27,all,surrogate_mae,32,0.04142228739002932,0.036290322580645164
27,all,surrogate_rmse,32,0.001466275659824047,0.0
27,informed,surrogate_spearman,26,-0.1658119658119658,-0.1323076923076923
27,generic,surrogate_spearman,6,-0.7142857142857143,-0.6
27,informed,pren_spearman,26,0.21641025641025638,0.13846153846153847
27,generic,fake_pren_spearman,6,-0.48571428571428577,-0.3333333333333333
28,all,surrogate_spearman,32,0.10153958944281524,0.07258064516129033
28,all,surrogate_mae,32,-0.15212609970674487,-0.10080645161290325
28,all,surrogate_rmse,32,-0.14809384164222872,-0.09677419354838711
28,informed,surrogate_spearman,27,0.009157509157509158,0.00854700854700855
28,generic,surrogate_spearman,5,-0.3,-0.19999999999999998
28,informed,pren_spearman,27,-0.3345543345543345,-0.23076923076923084
28,generic,fake_pren_spearman,5,-0.49999999999999994,-0.19999999999999998
29,all,surrogate_spearman,32,0.17118768328445746,0.11290322580645162
29,all,surrogate_mae,32,-0.15909090909090906,-0.12096774193548389
