optuna_validation_fold,fold_output_dir,model,model_kind,model_source,task_id,dataset,table,target,target_threshold_median,target_binning,target_bins,target_bin_edges,regression_output,regression_uncertainty,regression_quantile_alphas,n_samples,n_train,n_test,n_features,pitting_magpie_features,n_classes,class_labels,class_counts,positive_label,positive_rate,split_strategy,split_group_count,split_train_group_count,split_test_group_count,split_group_overlap_count,include_in_summary,summary_exclusion_reason,task_quality_flags,task_family,test_mae,test_rmse,test_r2,test_spearman,test_pearson,test_nmae_iqr,test_nrmse_iqr,feature_groups,feature_group_counts,dropped_feature_columns,test_pinball_loss,test_npinball_iqr,test_quantile_calibration_mae,test_quantile_calibration_max_error,test_interval_50_coverage,test_interval_50_coverage_error,test_interval_50_mean_width,test_interval_50_nwidth_iqr,test_interval_50_winkler,test_interval_50_nwinkler_iqr,test_interval_80_coverage,test_interval_80_coverage_error,test_interval_80_mean_width,test_interval_80_nwidth_iqr,test_interval_80_winkler,test_interval_80_nwinkler_iqr,test_interval_90_coverage,test_interval_90_coverage_error,test_interval_90_mean_width,test_interval_90_nwidth_iqr,test_interval_90_winkler,test_interval_90_nwinkler_iqr
1,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/epit_pipeline/optuna_v2/evaluations/epit_pipeline_optuna_empirical_features_scm_target_v7/development_folds_tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11023_trial_0017/fold_1,trial_0017,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_optuna_empirical_features_scm_target_v7/tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11023_trial_0017/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_1,0,0,0,0,True,,,normal_corrosion,226.59717793687705,347.89120128923906,0.0965572766539023,0.4512450224776247,0.4383536707674001,0.454692567884935,0.6980825846950485,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,
2,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/epit_pipeline/optuna_v2/evaluations/epit_pipeline_optuna_empirical_features_scm_target_v7/development_folds_tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11023_trial_0017/fold_2,trial_0017,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_optuna_empirical_features_scm_target_v7/tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11023_trial_0017/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,normal_corrosion,175.81184200728538,277.7343366234643,0.449787891702056,0.6977228841275587,0.7011685274105235,0.3454114589257904,0.5456550668692844,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,
3,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/epit_pipeline/optuna_v2/evaluations/epit_pipeline_optuna_empirical_features_scm_target_v7/development_folds_tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11023_trial_0017/fold_3,trial_0017,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_optuna_empirical_features_scm_target_v7/tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11023_trial_0017/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,215.0883145666591,307.9105288002295,0.3101616534302015,0.6113581574982753,0.6430362870426989,0.4146560530670196,0.5936025154472677,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,
4,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/epit_pipeline/optuna_v2/evaluations/epit_pipeline_optuna_empirical_features_scm_target_v7/development_folds_tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11023_trial_0017/fold_4,trial_0017,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_optuna_empirical_features_scm_target_v7/tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11023_trial_0017/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,487,121,21,False,0,,,,,epit_pipeline_development_fold_4,0,0,0,0,True,,,normal_corrosion,249.4083535551933,335.14210314951504,0.1815956768760643,0.4731754986791981,0.5240162945696611,0.4862709174404236,0.6534258201394327,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,
5,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/epit_pipeline/optuna_v2/evaluations/epit_pipeline_optuna_empirical_features_scm_target_v7/development_folds_tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11023_trial_0017/fold_5,trial_0017,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_optuna_empirical_features_scm_target_v7/tabicl_epit_pipeline_epit_pipeline_optuna_empirical_features_scm_target_v7_11023_trial_0017/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,487,121,21,False,0,,,,,epit_pipeline_development_fold_5,0,0,0,0,True,,,normal_corrosion,257.0927742314477,338.7859373190504,0.6564274112724232,0.9133758653228236,0.9014692467449966,0.5558762686085356,0.7325101347438927,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,
