trial_number,trial_id,draw_index,model,mean_test_spearman,synthetic_seed,sampling_seed,schema_attempts,sample_type,surrogate_spearman,surrogate_mae,surrogate_rmse,pren_spearman,pren_mae,pren_rmse,fake_pren_spearman,fake_pren_mae,fake_pren_rmse
26,trial_0026,0,extra_trees,0.8211618506917706,26200000,26200000,1,informed,-0.10773300407253224,0.7935432935475007,1.0362305249407795,0.40374566479951113,0.8793151703129755,1.1488010811241578,,,
26,trial_0026,1,extra_trees,0.8211618506917706,26200001,26200001,1,informed,0.44745500274727745,0.6879713835611247,0.91875614284509,0.3967922653786657,0.9016787663795819,1.1697000816057543,,,
26,trial_0026,2,extra_trees,0.8211618506917706,26200002,26200002,1,informed,0.5036345709421779,0.6867290328086496,0.9032268685910395,0.41600584184189776,0.8777307777403747,1.1192908670531825,,,
26,trial_0026,3,extra_trees,0.8211618506917706,26200003,26200003,1,generic,-0.11776720055297954,0.7698345539032311,1.0170351134736093,,,,0.4873959110948838,0.7912330869650591,1.0574208904119469
26,trial_0026,4,extra_trees,0.8211618506917706,26200004,26200004,1,informed,-0.1553973459621169,0.8474295091128593,1.0989673052501798,0.3324892989950251,0.9151279151112794,1.2046259920745774,,,
26,trial_0026,5,extra_trees,0.8211618506917706,26200005,26200005,1,informed,0.14611148708205973,0.7643535281142042,0.9960650559477434,0.5048441291142481,0.7901922000601188,1.0535164919648166,,,
26,trial_0026,6,extra_trees,0.8211618506917706,26200006,26200006,1,informed,0.12087456621532826,0.7799116788998136,0.9965714425445366,0.5367611597143571,0.6825113553213933,0.9514888884796714,,,
26,trial_0026,7,extra_trees,0.8211618506917706,26200007,26200007,1,informed,0.3336138980047202,0.8055996468651546,1.0184705763206598,0.3184344723116602,0.9564090741703872,1.2211773939202124,,,
26,trial_0026,8,extra_trees,0.8211618506917706,26200008,26200008,1,informed,0.1814720601867729,0.7539776828441087,0.9803391840369734,0.2435793077469201,0.9864338641252106,1.2432968040030368,,,
26,trial_0026,9,extra_trees,0.8211618506917706,26200009,26200009,1,informed,0.43581412624119564,0.7063469733633206,0.9228229518986719,0.5367108739867931,0.7169965480705376,0.9713846920190553,,,
26,trial_0026,10,extra_trees,0.8211618506917706,26200010,26200010,1,generic,0.37926077618988574,0.7331772040377414,0.9459284491458155,,,,0.3813298073679882,0.8926836216444249,1.1836610058355235
