trial_number,trial_id,synthetic_seed,sampling_seed,schema_attempts,sample_type,ridge_spearman,ridge_mae,ridge_rmse
4,trial_0004,4200000,4200000,1,generic,0.08972199845199862,0.7488327657569551,0.9988796002172675
4,trial_0004,4200001,4200001,1,generic,0.2515664280946318,0.7537486659584204,0.982620872412657
4,trial_0004,4200002,4200002,1,generic,0.03377855930196536,0.7554620254604313,0.9998729218948245
4,trial_0004,4200003,4200003,1,generic,0.166998067473028,0.7859583152518395,1.012241920161183
4,trial_0004,4200004,4200004,1,generic,0.15424298811380557,0.7599130003218777,0.9823862273971855
4,trial_0004,4200005,4200005,1,generic,0.11491804564417298,0.7804879815200159,1.0237973009107104
4,trial_0004,4200006,4200006,1,informed,0.5239493841882591,0.734035619924604,1.0674371622800243
4,trial_0004,4200007,4200007,1,informed,0.48343210000666076,0.7770507949113543,1.1492649043868344
4,trial_0004,4200008,4200008,1,generic,0.12575271320440776,0.7431175863975942,0.998701507995416
4,trial_0004,4200009,4200009,1,informed,0.506546449293499,0.7309459675000882,1.0911343310223962
4,trial_0004,4200010,4200010,1,informed,0.4740601197429226,0.7753879438792333,1.1620130270224538
4,trial_0004,4200011,4200011,1,informed,0.4507082014887588,0.7700213787203619,1.1305894763313202
4,trial_0004,4200012,4200012,1,generic,0.24100529083611263,0.8172610034937362,1.1647156533524998
4,trial_0004,4200013,4200013,1,generic,0.15275668197054879,0.7562136405923815,0.9928785788415826
4,trial_0004,4200014,4200014,1,informed,0.5382251728373212,0.7432615854249769,1.1422557561377291
4,trial_0004,4200015,4200015,1,informed,0.2623158327115275,0.8328957490024661,1.242048892255589
4,trial_0004,4200016,4200016,1,informed,0.10853412286187832,0.8624715804680675,1.2382918087817711
4,trial_0004,4200017,4200017,1,generic,0.35165834409092805,0.7255007470625482,0.968645982348999
4,trial_0004,4200018,4200018,1,generic,-0.11756443627812574,0.8100984070768494,1.067522215860885
4,trial_0004,4200019,4200019,1,informed,0.47257717600493376,0.7203858393524233,0.9492704818433726
4,trial_0004,4200020,4200020,1,generic,0.18850603447726458,0.7501471734336007,0.9802559580231724
4,trial_0004,4200021,4200021,1,informed,0.5402472085516224,0.729100984052886,1.0758698918250769
4,trial_0004,4200022,4200022,1,generic,0.22735864101663605,0.7594428477939346,1.021801106665666
4,trial_0004,4200023,4200023,1,informed,0.5433469088226129,0.8983136270079551,1.6050956954917852
4,trial_0004,4200024,4200024,1,informed,0.05564670005098042,0.8995721601071672,1.32873512887232
4,trial_0004,4200025,4200025,1,informed,0.5219877487539538,0.7703661065831786,1.1606738736061728
