checkpoint_name,checkpoint_step,model,task_id,n_folds,validation_folds,model_kind,model_source,dataset,table,target,target_binning,n_samples,n_features,feature_groups,feature_group_counts,task_quality_flags,context_rows_min,context_rows_max,validation_rows_min,validation_rows_max,mean_test_spearman,median_test_spearman,std_test_spearman,min_test_spearman,max_test_spearman,mean_test_mae,median_test_mae,std_test_mae,min_test_mae,max_test_mae,mean_test_rmse,median_test_rmse,std_test_rmse,min_test_rmse,max_test_rmse,mean_test_r2,median_test_r2,std_test_r2,min_test_r2,max_test_r2,mean_test_pearson,median_test_pearson,std_test_pearson,min_test_pearson,max_test_pearson
step-1500,1500,pretrained_tabicl_v2,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6889862457157303,0.7264166761737962,0.15741918097522423,0.4972654121034983,0.8765706002620413,194.25667718263222,188.9494359413199,36.86832298560568,147.73902746228697,247.5178470109265,300.3581400295773,260.65988789830766,117.55450476942364,205.5124688962792,504.15891098827655,0.31396181162481074,0.558743360436929,0.6918553093098281,-0.8973551477817541,0.7966162897556599,0.6868127900529484,0.7510518633431433,0.2588149324185066,0.2579260068849429,0.9273144092547476
step-1500,1500,catboost,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6916923585585038,0.7670399984280225,0.1958688169355076,0.4787131740337256,0.9112805160230548,189.85624042744638,184.17920914311293,29.420550617532736,150.36678957921768,220.3852586003285,260.839072873263,245.27082356558748,60.69992982775559,197.1535948556598,340.6674030557137,0.5332370239031992,0.6617536377540367,0.2881057750666573,0.1336868750181218,0.8199224654334067,0.7376788974329462,0.8227456609591492,0.18693386192041672,0.4886175443365949,0.9323509602938432
step-2000,2000,generic_baseline,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-2000.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6134613551004058,0.6009054127027632,0.17715700719055344,0.4223393533653516,0.900192900881763,227.21646925919558,230.8069627868544,11.563553567189604,208.12745624226423,239.2264430752596,325.0385070768176,304.42218642536886,59.98239096058891,271.67767319937514,426.9828659493052,0.28565969353210574,0.3524873076126684,0.40189320779710025,-0.3609263732825758,0.7225911199100045,0.6336568919540289,0.6472338866272451,0.19930230892597545,0.3497104647571358,0.8946260121385479
step-2000,2000,epit_scm_trial_0036,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-2000.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6525316774020062,0.6713331719214635,0.16707914599114376,0.4359974224680182,0.8578969921007958,210.74522968244213,219.16059566939475,21.272382100635948,180.77266263614712,230.94113184666685,295.209037776863,302.93266022168484,48.623080829658925,241.10107151673355,364.3027848579141,0.4283612598450569,0.5185825592834777,0.277336976003869,0.0093078613721042,0.7252991806846649,0.6890403494018308,0.7346706567556259,0.17402007164797814,0.4514351154085139,0.9057651410367826
step-2000,2000,pretrained_tabicl_v2,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6889862457157303,0.7264166761737962,0.15741918097522423,0.4972654121034983,0.8765706002620413,194.25667718263222,188.9494359413199,36.86832298560568,147.73902746228697,247.5178470109265,300.3581400295773,260.65988789830766,117.55450476942364,205.5124688962792,504.15891098827655,0.31396181162481074,0.558743360436929,0.6918553093098281,-0.8973551477817541,0.7966162897556599,0.6868127900529484,0.7510518633431433,0.2588149324185066,0.2579260068849429,0.9273144092547476
step-2000,2000,catboost,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6916923585585038,0.7670399984280225,0.1958688169355076,0.4787131740337256,0.9112805160230548,189.85624042744638,184.17920914311293,29.420550617532736,150.36678957921768,220.3852586003285,260.839072873263,245.27082356558748,60.69992982775559,197.1535948556598,340.6674030557137,0.5332370239031992,0.6617536377540367,0.2881057750666573,0.1336868750181218,0.8199224654334067,0.7376788974329462,0.8227456609591492,0.18693386192041672,0.4886175443365949,0.9323509602938432
step-2500,2500,generic_baseline,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-2500.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6129493516704011,0.6065688993040362,0.17920474731388006,0.4359379389829352,0.8916436197283106,222.53603945165986,218.8600228422674,29.2847985556253,185.7651764065789,257.5563063078187,327.4556689074429,295.28715081734646,81.14425478756384,258.26395071325913,464.32268054530965,0.246266603412572,0.3646704839201906,0.5194468429678196,-0.609361213523983,0.7556651562710973,0.6343681872584692,0.6484193413433474,0.22317643347132732,0.3207273341682393,0.9244019601147272
step-2500,2500,epit_scm_trial_0036,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-2500.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6705901815451272,0.7095583192273037,0.1597047654648008,0.4360172502963792,0.8635163492456365,201.71831761072767,204.44615353619176,20.88068650374838,176.37468969610651,232.7262661965207,284.341125727712,268.0790380753535,54.448779123193376,237.04333360603636,374.59451996586887,0.4530405642221001,0.5434514608040866,0.3128285243206626,-0.0474578933822975,0.7848737185053934,0.7032366800336844,0.757984151077243,0.18117640486634076,0.4327615650832705,0.9177449808464528
step-2500,2500,pretrained_tabicl_v2,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6889862457157303,0.7264166761737962,0.15741918097522423,0.4972654121034983,0.8765706002620413,194.25667718263222,188.9494359413199,36.86832298560568,147.73902746228697,247.5178470109265,300.3581400295773,260.65988789830766,117.55450476942364,205.5124688962792,504.15891098827655,0.31396181162481074,0.558743360436929,0.6918553093098281,-0.8973551477817541,0.7966162897556599,0.6868127900529484,0.7510518633431433,0.2588149324185066,0.2579260068849429,0.9273144092547476
step-2500,2500,catboost,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6916923585585038,0.7670399984280225,0.1958688169355076,0.4787131740337256,0.9112805160230548,189.85624042744638,184.17920914311293,29.420550617532736,150.36678957921768,220.3852586003285,260.839072873263,245.27082356558748,60.69992982775559,197.1535948556598,340.6674030557137,0.5332370239031992,0.6617536377540367,0.2881057750666573,0.1336868750181218,0.8199224654334067,0.7376788974329462,0.8227456609591492,0.18693386192041672,0.4886175443365949,0.9323509602938432
step-3000,3000,generic_baseline,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-3000.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.626356401250341,0.6256492940558127,0.1643440789458459,0.4310569885680699,0.8600343123891591,221.89032512808967,224.5487511569556,35.90381588889785,174.15350694747048,258.7539744896915,323.265799975861,315.2864719000617,79.5183365715893,243.64560119878576,452.960279169091,0.28911291627931035,0.4372954530192761,0.4813301024589391,-0.5315598538569388,0.6808188494223728,0.6434995792450604,0.676298387609996,0.21299215739972344,0.3297152357062977,0.8927642855271634
step-3000,3000,epit_scm_trial_0036,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-3000.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6712280309940137,0.6721765978567009,0.14368270527911572,0.4573519936128117,0.8544488271981752,202.44780770640136,211.03784877000183,23.567181484030847,163.78654318871833,226.1280439544269,286.6655141926978,278.9321394880636,47.35581352257051,231.3204430189857,361.971694449536,0.4529314419699467,0.4552709761205322,0.27892998371516553,0.0219457241522251,0.7671024749346165,0.7027171119305108,0.7138114144989702,0.16542103706088465,0.4629274240199109,0.9069093970988348
step-3000,3000,pretrained_tabicl_v2,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6889862457157303,0.7264166761737962,0.15741918097522423,0.4972654121034983,0.8765706002620413,194.25667718263222,188.9494359413199,36.86832298560568,147.73902746228697,247.5178470109265,300.3581400295773,260.65988789830766,117.55450476942364,205.5124688962792,504.15891098827655,0.31396181162481074,0.558743360436929,0.6918553093098281,-0.8973551477817541,0.7966162897556599,0.6868127900529484,0.7510518633431433,0.2588149324185066,0.2579260068849429,0.9273144092547476
step-3000,3000,catboost,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6916923585585038,0.7670399984280225,0.1958688169355076,0.4787131740337256,0.9112805160230548,189.85624042744638,184.17920914311293,29.420550617532736,150.36678957921768,220.3852586003285,260.839072873263,245.27082356558748,60.69992982775559,197.1535948556598,340.6674030557137,0.5332370239031992,0.6617536377540367,0.2881057750666573,0.1336868750181218,0.8199224654334067,0.7376788974329462,0.8227456609591492,0.18693386192041672,0.4886175443365949,0.9323509602938432
step-3500,3500,generic_baseline,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-3500.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6432018312068066,0.6000382759982622,0.15356122779124123,0.4560202244745648,0.8703855814877925,232.7179100988736,232.63859131488655,27.83594814949193,194.1456028520844,265.6700002552561,325.84024255790047,312.3597576590297,80.3667086782918,249.07228564207892,460.4483618832503,0.273204747355113,0.4059360930307508,0.5001510638153215,-0.5826161708554396,0.6900458138413461,0.6430537587205107,0.6681257519936711,0.23415430411431512,0.2857308070352088,0.9162288477885794
step-3500,3500,epit_scm_trial_0036,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-3500.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6646850886330652,0.6753131939050135,0.1331830505741366,0.4733299186337149,0.8354940818199185,205.41186770868507,212.1836808801787,17.7854516903731,179.78393541927022,221.59303334399544,292.6151577939462,291.81660412156214,37.2324319382542,244.28240335504643,343.20245270074537,0.4400162747100863,0.45343102099223,0.2380303276070792,0.1207457013875702,0.7450894817394309,0.6937243251583517,0.7272064041399958,0.15499249062107243,0.4878904365397977,0.8871549168862287
step-3500,3500,pretrained_tabicl_v2,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6889862457157303,0.7264166761737962,0.15741918097522423,0.4972654121034983,0.8765706002620413,194.25667718263222,188.9494359413199,36.86832298560568,147.73902746228697,247.5178470109265,300.3581400295773,260.65988789830766,117.55450476942364,205.5124688962792,504.15891098827655,0.31396181162481074,0.558743360436929,0.6918553093098281,-0.8973551477817541,0.7966162897556599,0.6868127900529484,0.7510518633431433,0.2588149324185066,0.2579260068849429,0.9273144092547476
step-3500,3500,catboost,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6916923585585038,0.7670399984280225,0.1958688169355076,0.4787131740337256,0.9112805160230548,189.85624042744638,184.17920914311293,29.420550617532736,150.36678957921768,220.3852586003285,260.839072873263,245.27082356558748,60.69992982775559,197.1535948556598,340.6674030557137,0.5332370239031992,0.6617536377540367,0.2881057750666573,0.1336868750181218,0.8199224654334067,0.7376788974329462,0.8227456609591492,0.18693386192041672,0.4886175443365949,0.9323509602938432
